source,stream,material,amount (kg/MW),amount (kg/MWh),facility,ore grade,mining waste kg/MW,recycling factor,bib,,,,,,,,,,
gas,front_waste,aluminum_mining_w,476,0.002130898,,,,,"@incollection{SCHWARZ200481,\ntitle = {Aluminum Production and Energy},\neditor = {Cutler J. Cleveland},\nbooktitle = {Encyclopedia of Energy},\npublisher = {Elsevier},\naddress = {New York},\npages = {81-95},\nyear = {2004},\nisbn = {978-0-12-176480-7},\ndoi = {https://doi.org/10.1016/B0-12-176480-X/00372-7},\nurl = {https://www.sciencedirect.com/science/article/pii/B012176480X003727},\nauthor = {H.-G. Schwarz}\n}"",
""\n@TECHREPORT{Spath2000-qg,\n title = \""Life cycle assessment of a natural gas combined cycle power\n generation system\"",\n author = \""Spath, P L and Mann, M K\"",\n abstract = \""The U.S. Department of Energy's Office of Scientific and\n Technical Information\"",\n publisher = \""Office of Scientific and Technical Information (OSTI)\"",\n number = \""NREL/TP-570-27715\"",\n institution = \""National Renewable Energy Lab. (NREL), Golden, CO (United\n States)\"",\n month = dec,\n year = 2000,\n keywords = \"" natural gas; energy conservation, consumption, and\n utilization; combined cycles; electric power; electricity;\n heating; life cycle; natural gas; power generation;\n production; steam; life cycle assessment, natural gas, power\n plant\"",\n language = \""en\""\n}\n",,,,,,,,,,
gas,front_waste,concrete_mining_w,13753.2843,0.061569005,,,,,"\n@article{ELCHALAKANI201410,\ntitle = {Sustainable concrete with high volume GGBFS to build Masdar City in the UAE},\njournal = {Case Studies in Construction Materials},\nvolume = {1},\npages = {10-24},\nyear = {2014},\nissn = {2214-5095},\ndoi = {https://doi.org/10.1016/j.cscm.2013.11.001},\nurl = {https://www.sciencedirect.com/science/article/pii/S221450951300003X},\nauthor = {Mohamed Elchalakani and Tarek Aly and Emad Abu-Aisheh},\nkeywords = {Concrete, Sustainability, GGBFS, Fly ash},\nabstract = {Masdar City (MC) is leading the Middle East in the development of energy and resource efficient low-carbon construction in the United Arab Emirates (UAE). One of its major goals is to develop and specify materials and processes that will help reducing its environmental footprint through resource and energy conservation, as well as renewable energy generation. In 2010 MC announced on its website a prized-competition for the best proposal of \u201cSustainable Concrete\u201d and \u201cLowest Carbon Footprint\u201d to build MC with a total of two million cubic meter of concrete on 4 years period. This paper presents the experimental test results of 13 types of concrete mixes made with high volume of ground granulated blast furnace slag (GGBFS) cement with 50%, 60%, 70% and 80% replacement of ordinary Portland cement (OPC) to reduce the carbon emissions. A fly ash-blended mix made with 30% fly ash was also tested. The paper provides more information on the mix design parameter, full justification of CO2 footprint, and cost reduction for each concrete type. The hardened and plastic properties and durability test parameters for each mix are presented. The results show that the slag concrete mixes significantly reduce the carbon footprint and meet the requirements of MC. An economical mix with 80% GGBFS and 20% OPC was nominated for use in the future construction of MC with 154kg/m3 carbon foot print.}\n}"",
""\n@TECHREPORT{Spath2000-qg,\n title = \""Life cycle assessment of a natural gas combined cycle power\n generation system\"",\n author = \""Spath, P L and Mann, M K\"",\n abstract = \""The U.S. Department of Energy's Office of Scientific and\n Technical Information\"",\n publisher = \""Office of Scientific and Technical Information (OSTI)\"",\n number = \""NREL/TP-570-27715\"",\n institution = \""National Renewable Energy Lab. (NREL), Golden, CO (United\n States)\"",\n month = dec,\n year = 2000,\n keywords = \"" natural gas; energy conservation, consumption, and\n utilization; combined cycles; electric power; electricity;\n heating; life cycle; natural gas; power generation;\n production; steam; life cycle assessment, natural gas, power\n plant\"",\n language = \""en\""\n}\n",,,,,,,,,,
gas,front_waste,CO2,26576.68236,0.11897521,,,,,"\n@TECHREPORT{Spath2000-qg,\n title = \""Life cycle assessment of a natural gas combined cycle power\n generation system\"",\n author = \""Spath, P L and Mann, M K\"",\n abstract = \""The U.S. Department of Energy's Office of Scientific and\n Technical Information\"",\n publisher = \""Office of Scientific and Technical Information (OSTI)\"",\n number = \""NREL/TP-570-27715\"",\n institution = \""National Renewable Energy Lab. (NREL), Golden, CO (United\n States)\"",\n month = dec,\n year = 2000,\n keywords = \"" natural gas; energy conservation, consumption, and\n utilization; combined cycles; electric power; electricity;\n heating; life cycle; natural gas; power generation;\n production; steam; life cycle assessment, natural gas, power\n plant\"",\n language = \""en\""\n}\n"",
""\n\n@MISC{noauthor_undated-xq,\n title = \""About the {LCI} database project\"",\n url ={https://www.nrel.gov/lci/about.html}}",,,,,,,,,,
gas,oper_need,natural_gas,37795896,169.2,,,,,"\n@TECHREPORT{Spath2000-qg,\n title = \""Life cycle assessment of a natural gas combined cycle power\n generation system\"",\n author = \""Spath, P L and Mann, M K\"",\n abstract = \""The U.S. Department of Energy's Office of Scientific and\n Technical Information\"",\n publisher = \""Office of Scientific and Technical Information (OSTI)\"",\n number = \""NREL/TP-570-27715\"",\n institution = \""National Renewable Energy Lab. (NREL), Golden, CO (United\n States)\"",\n month = dec,\n year = 2000,\n keywords = \"" natural gas; energy conservation, consumption, and\n utilization; combined cycles; electric power; electricity;\n heating; life cycle; natural gas; power generation;\n production; steam; life cycle assessment, natural gas, power\n plant\"",\n language = \""en\""\n}\n",,,,,,,,,,
gas,oper_need,coal,402084,1.8,,,,,"\n@TECHREPORT{Spath2000-qg,\n title = \""Life cycle assessment of a natural gas combined cycle power\n generation system\"",\n author = \""Spath, P L and Mann, M K\"",\n abstract = \""The U.S. Department of Energy's Office of Scientific and\n Technical Information\"",\n publisher = \""Office of Scientific and Technical Information (OSTI)\"",\n number = \""NREL/TP-570-27715\"",\n institution = \""National Renewable Energy Lab. (NREL), Golden, CO (United\n States)\"",\n month = dec,\n year = 2000,\n keywords = \"" natural gas; energy conservation, consumption, and\n utilization; combined cycles; electric power; electricity;\n heating; life cycle; natural gas; power generation;\n production; steam; life cycle assessment, natural gas, power\n plant\"",\n language = \""en\""\n}\n",,,,,,,,,,
gas,oper_need,oil,134028,0.6,,,,,"\n@TECHREPORT{Spath2000-qg,\n title = \""Life cycle assessment of a natural gas combined cycle power\n generation system\"",\n author = \""Spath, P L and Mann, M K\"",\n abstract = \""The U.S. Department of Energy's Office of Scientific and\n Technical Information\"",\n publisher = \""Office of Scientific and Technical Information (OSTI)\"",\n number = \""NREL/TP-570-27715\"",\n institution = \""National Renewable Energy Lab. (NREL), Golden, CO (United\n States)\"",\n month = dec,\n year = 2000,\n keywords = \"" natural gas; energy conservation, consumption, and\n utilization; combined cycles; electric power; electricity;\n heating; life cycle; natural gas; power generation;\n production; steam; life cycle assessment, natural gas, power\n plant\"",\n language = \""en\""\n}\n",,,,,,,,,,
gas,oper_need,limestone ,134028,0.6,,,,,"\n@TECHREPORT{Spath2000-qg,\n title = \""Life cycle assessment of a natural gas combined cycle power\n generation system\"",\n author = \""Spath, P L and Mann, M K\"",\n abstract = \""The U.S. Department of Energy's Office of Scientific and\n Technical Information\"",\n publisher = \""Office of Scientific and Technical Information (OSTI)\"",\n number = \""NREL/TP-570-27715\"",\n institution = \""National Renewable Energy Lab. (NREL), Golden, CO (United\n States)\"",\n month = dec,\n year = 2000,\n keywords = \"" natural gas; energy conservation, consumption, and\n utilization; combined cycles; electric power; electricity;\n heating; life cycle; natural gas; power generation;\n production; steam; life cycle assessment, natural gas, power\n plant\"",\n language = \""en\""\n}\n",,,,,,,,,,
gas,oper_need,iron,134028,0.6,,0.65,72168.92308,for pipeline,"\n@TECHREPORT{Spath2000-qg,\n title = \""Life cycle assessment of a natural gas combined cycle power\n generation system\"",\n author = \""Spath, P L and Mann, M K\"",\n abstract = \""The U.S. Department of Energy's Office of Scientific and\n Technical Information\"",\n publisher = \""Office of Scientific and Technical Information (OSTI)\"",\n number = \""NREL/TP-570-27715\"",\n institution = \""National Renewable Energy Lab. (NREL), Golden, CO (United\n States)\"",\n month = dec,\n year = 2000,\n keywords = \"" natural gas; energy conservation, consumption, and\n utilization; combined cycles; electric power; electricity;\n heating; life cycle; natural gas; power generation;\n production; steam; life cycle assessment, natural gas, power\n plant\"",\n language = \""en\""\n}\n",,,,,,,,,,
gas,oper_waste,NH3,4690.98,0.021,,,,,"n@TECHREPORT{Spath2000-qg,\n title = \""Life cycle assessment of a natural gas combined cycle power\n generation system\"",\n author = \""Spath, P L and Mann, M K\"",\n abstract = \""The U.S. Department of Energy's Office of Scientific and\n Technical Information\"",\n publisher = \""Office of Scientific and Technical Information (OSTI)\"",\n number = \""NREL/TP-570-27715\"",\n institution = \""National Renewable Energy Lab. (NREL), Golden, CO (United\n States)\"",\n month = dec,\n year = 2000,\n keywords = \"" natural gas; energy conservation, consumption, and\n utilization; combined cycles; electric power; electricity;\n heating; life cycle; natural gas; power generation;\n production; steam; life cycle assessment, natural gas, power\n plant\"",\n language = \""en\""\n}\n",,,,,,,,,,
gas,oper_waste,SOx,72375.12,0.324,,,,,"n@TECHREPORT{Spath2000-qg,\n title = \""Life cycle assessment of a natural gas combined cycle power\n generation system\"",\n author = \""Spath, P L and Mann, M K\"",\n abstract = \""The U.S. Department of Energy's Office of Scientific and\n Technical Information\"",\n publisher = \""Office of Scientific and Technical Information (OSTI)\"",\n number = \""NREL/TP-570-27715\"",\n institution = \""National Renewable Energy Lab. (NREL), Golden, CO (United\n States)\"",\n month = dec,\n year = 2000,\n keywords = \"" natural gas; energy conservation, consumption, and\n utilization; combined cycles; electric power; electricity;\n heating; life cycle; natural gas; power generation;\n production; steam; life cycle assessment, natural gas, power\n plant\"",\n language = \""en\""\n}\n",,,,,,,,,,
gas,oper_waste,NMHCs,140282.64,0.628,,,,,"n@TECHREPORT{Spath2000-qg,\n title = \""Life cycle assessment of a natural gas combined cycle power\n generation system\"",\n author = \""Spath, P L and Mann, M K\"",\n abstract = \""The U.S. Department of Energy's Office of Scientific and\n Technical Information\"",\n publisher = \""Office of Scientific and Technical Information (OSTI)\"",\n number = \""NREL/TP-570-27715\"",\n institution = \""National Renewable Energy Lab. (NREL), Golden, CO (United\n States)\"",\n month = dec,\n year = 2000,\n keywords = \"" natural gas; energy conservation, consumption, and\n utilization; combined cycles; electric power; electricity;\n heating; life cycle; natural gas; power generation;\n production; steam; life cycle assessment, natural gas, power\n plant\"",\n language = \""en\""\n}\n",,,,,,,,,,
gas,oper_waste,NOx,127326.6,0.57,,,,,"n@TECHREPORT{Spath2000-qg,\n title = \""Life cycle assessment of a natural gas combined cycle power\n generation system\"",\n author = \""Spath, P L and Mann, M K\"",\n abstract = \""The U.S. Department of Energy's Office of Scientific and\n Technical Information\"",\n publisher = \""Office of Scientific and Technical Information (OSTI)\"",\n number = \""NREL/TP-570-27715\"",\n institution = \""National Renewable Energy Lab. (NREL), Golden, CO (United\n States)\"",\n month = dec,\n year = 2000,\n keywords = \"" natural gas; energy conservation, consumption, and\n utilization; combined cycles; electric power; electricity;\n heating; life cycle; natural gas; power generation;\n production; steam; life cycle assessment, natural gas, power\n plant\"",\n language = \""en\""\n}\n",,,,,,,,,,
gas,oper_waste,CO,64110.06,0.287,,,,,"n@TECHREPORT{Spath2000-qg,\n title = \""Life cycle assessment of a natural gas combined cycle power\n generation system\"",\n author = \""Spath, P L and Mann, M K\"",\n abstract = \""The U.S. Department of Energy's Office of Scientific and\n Technical Information\"",\n publisher = \""Office of Scientific and Technical Information (OSTI)\"",\n number = \""NREL/TP-570-27715\"",\n institution = \""National Renewable Energy Lab. (NREL), Golden, CO (United\n States)\"",\n month = dec,\n year = 2000,\n keywords = \"" natural gas; energy conservation, consumption, and\n utilization; combined cycles; electric power; electricity;\n heating; life cycle; natural gas; power generation;\n production; steam; life cycle assessment, natural gas, power\n plant\"",\n language = \""en\""\n}\n",,,,,,,,,,
gas,oper_waste,particulates,29709.54,0.133,,,,,"n@TECHREPORT{Spath2000-qg,\n title = \""Life cycle assessment of a natural gas combined cycle power\n generation system\"",\n author = \""Spath, P L and Mann, M K\"",\n abstract = \""The U.S. Department of Energy's Office of Scientific and\n Technical Information\"",\n publisher = \""Office of Scientific and Technical Information (OSTI)\"",\n number = \""NREL/TP-570-27715\"",\n institution = \""National Renewable Energy Lab. (NREL), Golden, CO (United\n States)\"",\n month = dec,\n year = 2000,\n keywords = \"" natural gas; energy conservation, consumption, and\n utilization; combined cycles; electric power; electricity;\n heating; life cycle; natural gas; power generation;\n production; steam; life cycle assessment, natural gas, power\n plant\"",\n language = \""en\""\n}\n",,,,,,,,,,
gas,oper_waste,CO2,98287200,440,,,,,"n@TECHREPORT{Spath2000-qg,\n title = \""Life cycle assessment of a natural gas combined cycle power\n generation system\"",\n author = \""Spath, P L and Mann, M K\"",\n abstract = \""The U.S. Department of Energy's Office of Scientific and\n Technical Information\"",\n publisher = \""Office of Scientific and Technical Information (OSTI)\"",\n number = \""NREL/TP-570-27715\"",\n institution = \""National Renewable Energy Lab. (NREL), Golden, CO (United\n States)\"",\n month = dec,\n year = 2000,\n keywords = \"" natural gas; energy conservation, consumption, and\n utilization; combined cycles; electric power; electricity;\n heating; life cycle; natural gas; power generation;\n production; steam; life cycle assessment, natural gas, power\n plant\"",\n language = \""en\""\n}\n",,,,,,,,,,
gas,oper_waste,formaldehyde,1943.406,0.0087,,,,,"n@TECHREPORT{Spath2000-qg,\n title = \""Life cycle assessment of a natural gas combined cycle power\n generation system\"",\n author = \""Spath, P L and Mann, M K\"",\n abstract = \""The U.S. Department of Energy's Office of Scientific and\n Technical Information\"",\n publisher = \""Office of Scientific and Technical Information (OSTI)\"",\n number = \""NREL/TP-570-27715\"",\n institution = \""National Renewable Energy Lab. (NREL), Golden, CO (United\n States)\"",\n month = dec,\n year = 2000,\n keywords = \"" natural gas; energy conservation, consumption, and\n utilization; combined cycles; electric power; electricity;\n heating; life cycle; natural gas; power generation;\n production; steam; life cycle assessment, natural gas, power\n plant\"",\n language = \""en\""\n}\n",,,,,,,,,,
gas,oper_waste,methane leak,629931.6,2.82,,,,,"n@TECHREPORT{Spath2000-qg,\n title = \""Life cycle assessment of a natural gas combined cycle power\n generation system\"",\n author = \""Spath, P L and Mann, M K\"",\n abstract = \""The U.S. Department of Energy's Office of Scientific and\n Technical Information\"",\n publisher = \""Office of Scientific and Technical Information (OSTI)\"",\n number = \""NREL/TP-570-27715\"",\n institution = \""National Renewable Energy Lab. (NREL), Golden, CO (United\n States)\"",\n month = dec,\n year = 2000,\n keywords = \"" natural gas; energy conservation, consumption, and\n utilization; combined cycles; electric power; electricity;\n heating; life cycle; natural gas; power generation;\n production; steam; life cycle assessment, natural gas, power\n plant\"",\n language = \""en\""\n}\n",,,,,,,,,,
gas,oper_waste,benzene,14117.616,0.0632,,,,,"n@TECHREPORT{Spath2000-qg,\n title = \""Life cycle assessment of a natural gas combined cycle power\n generation system\"",\n author = \""Spath, P L and Mann, M K\"",\n abstract = \""The U.S. Department of Energy's Office of Scientific and\n Technical Information\"",\n publisher = \""Office of Scientific and Technical Information (OSTI)\"",\n number = \""NREL/TP-570-27715\"",\n institution = \""National Renewable Energy Lab. (NREL), Golden, CO (United\n States)\"",\n month = dec,\n year = 2000,\n keywords = \"" natural gas; energy conservation, consumption, and\n utilization; combined cycles; electric power; electricity;\n heating; life cycle; natural gas; power generation;\n production; steam; life cycle assessment, natural gas, power\n plant\"",\n language = \""en\""\n}\n",,,,,,,,,,
gas,oper_waste,H2S,0.003149658,1.41E-08,,,,,"n@TECHREPORT{Spath2000-qg,\n title = \""Life cycle assessment of a natural gas combined cycle power\n generation system\"",\n author = \""Spath, P L and Mann, M K\"",\n abstract = \""The U.S. Department of Energy's Office of Scientific and\n Technical Information\"",\n publisher = \""Office of Scientific and Technical Information (OSTI)\"",\n number = \""NREL/TP-570-27715\"",\n institution = \""National Renewable Energy Lab. (NREL), Golden, CO (United\n States)\"",\n month = dec,\n year = 2000,\n keywords = \"" natural gas; energy conservation, consumption, and\n utilization; combined cycles; electric power; electricity;\n heating; life cycle; natural gas; power generation;\n production; steam; life cycle assessment, natural gas, power\n plant\"",\n language = \""en\""\n}\n",,,,,,,,,,
gas,oper_waste,limestone ,134028,0.6,,,,,"n@TECHREPORT{Spath2000-qg,\n title = \""Life cycle assessment of a natural gas combined cycle power\n generation system\"",\n author = \""Spath, P L and Mann, M K\"",\n abstract = \""The U.S. Department of Energy's Office of Scientific and\n Technical Information\"",\n publisher = \""Office of Scientific and Technical Information (OSTI)\"",\n number = \""NREL/TP-570-27715\"",\n institution = \""National Renewable Energy Lab. (NREL), Golden, CO (United\n States)\"",\n month = dec,\n year = 2000,\n keywords = \"" natural gas; energy conservation, consumption, and\n utilization; combined cycles; electric power; electricity;\n heating; life cycle; natural gas; power generation;\n production; steam; life cycle assessment, natural gas, power\n plant\"",\n language = \""en\""\n}\n",,,,,,,,,,
gas,oper_waste,iron,134028,0.6,,,,,"n@TECHREPORT{Spath2000-qg,\n title = \""Life cycle assessment of a natural gas combined cycle power\n generation system\"",\n author = \""Spath, P L and Mann, M K\"",\n abstract = \""The U.S. Department of Energy's Office of Scientific and\n Technical Information\"",\n publisher = \""Office of Scientific and Technical Information (OSTI)\"",\n number = \""NREL/TP-570-27715\"",\n institution = \""National Renewable Energy Lab. (NREL), Golden, CO (United\n States)\"",\n month = dec,\n year = 2000,\n keywords = \"" natural gas; energy conservation, consumption, and\n utilization; combined cycles; electric power; electricity;\n heating; life cycle; natural gas; power generation;\n production; steam; life cycle assessment, natural gas, power\n plant\"",\n language = \""en\""\n}\n",,,,,,,,,,
hydro,front_waste,concrete_mining_w,1075510.8,5.90265411,,,,,"\n@article{ELCHALAKANI201410,\ntitle = {Sustainable concrete with high volume GGBFS to build Masdar City in the UAE},\njournal = {Case Studies in Construction Materials},\nvolume = {1},\npages = {10-24},\nyear = {2014},\nissn = {2214-5095},\ndoi = {https://doi.org/10.1016/j.cscm.2013.11.001},\nurl = {https://www.sciencedirect.com/science/article/pii/S221450951300003X},\nauthor = {Mohamed Elchalakani and Tarek Aly and Emad Abu-Aisheh},\nkeywords = {Concrete, Sustainability, GGBFS, Fly ash},\nabstract = {Masdar City (MC) is leading the Middle East in the development of energy and resource efficient low-carbon construction in the United Arab Emirates (UAE). One of its major goals is to develop and specify materials and processes that will help reducing its environmental footprint through resource and energy conservation, as well as renewable energy generation. In 2010 MC announced on its website a prized-competition for the best proposal of \u201cSustainable Concrete\u201d and \u201cLowest Carbon Footprint\u201d to build MC with a total of two million cubic meter of concrete on 4 years period. This paper presents the experimental test results of 13 types of concrete mixes made with high volume of ground granulated blast furnace slag (GGBFS) cement with 50%, 60%, 70% and 80% replacement of ordinary Portland cement (OPC) to reduce the carbon emissions. A fly ash-blended mix made with 30% fly ash was also tested. The paper provides more information on the mix design parameter, full justification of CO2 footprint, and cost reduction for each concrete type. The hardened and plastic properties and durability test parameters for each mix are presented. The results show that the slag concrete mixes significantly reduce the carbon footprint and meet the requirements of MC. An economical mix with 80% GGBFS and 20% OPC was nominated for use in the future construction of MC with 154kg/m3 carbon foot print.}\n}",,,,,,,,,,
hydro,front_waste,aluminum_mining_w,3698.8224,0.0203,,,,,"@incollection{SCHWARZ200481,\ntitle = {Aluminum Production and Energy},\neditor = {Cutler J. Cleveland},\nbooktitle = {Encyclopedia of Energy},\npublisher = {Elsevier},\naddress = {New York},\npages = {81-95},\nyear = {2004},\nisbn = {978-0-12-176480-7},\ndoi = {https://doi.org/10.1016/B0-12-176480-X/00372-7},\nurl = {https://www.sciencedirect.com/science/article/pii/B012176480X003727},\nauthor = {H.-G. Schwarz}\n}",,,,,,,,,,
